Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
0,01999999;-0,421389;-1;35,85746;-9,91864;36,27816;-9,89455
0,03999998;-0,4140453;1;35,8601;-9,836278;36,27347;-9,812607
0,05999998;-0,4060558;1;35,8626;-9,740148;36,26799;-9,716932
0,07999997;-0,3984865;1;35,86468;-9,644012;36,26251;-9,621231
0,09999996;-0,3922239;1;35,86548;-9,548508;36,25706;-9,526085
0,12;-0,3879024;0,4424933;35,86434;-9,452948;36,25161;-9,430771
0,14;-0,3855217;-1;35,86126;-9,357576;36,24615;-9,335537
0,16;-0,3843027;-1;35,85703;-9,262446;36,24071;-9,240477
0,1799999;-0,3833242;-1;35,85257;-9,167366;36,23527;-9,145452
0,1999999;-0,3818453;-1;35,84831;-9,072575;36,22944;-9,049215
0,2199999;-0,3795943;-1;35,84474;-8,977481;36,22362;-8,95426
0,2399999;-0,3761661;-0,3335285;35,84235;-8,882486;36,21782;-8,859474
0,2599999;-0,3715264;0,9244525;35,84117;-8,7874;36,212;-8,764671
0,2799999;-0,3664584;1;35,84041;-8,692153;36,20618;-8,669737
0,2999999;-0,3616658;1;35,83939;-8,597042;36,20037;-8,574917
0,3199999;-0,3575303;0,5601579;35,83768;-8,501728;36,19455;-8,479856
0,3399999;-0,3542394;-0,2515015;35,83515;-8,406549;36,18873;-8,38488
0,3599998;-0,3511699;-0,4422081;35,83215;-8,311407;36,18257;-8,288496
0,3799998;-0,3481117;-0,4228911;35,82899;-8,216211;36,17636;-8,193501
0,3999998;-0,3450687;-0,4076901;35,82582;-8,121119;36,17015;-8,098608
0,4199998;-0,3420334;-0,385026;35,82264;-8,02598;36,16395;-8,003666
0,4399998;-0,339002;-0,3585559;35,81946;-7,930893;36,15774;-7,908775
0,4599997;-0,3359589;-0,3165323;35,81628;-7,835607;36,15153;-7,813686
0,4799997;-0,3329196;-0,2898642;35,81312;-7,740678;36,14533;-7,718956
0,4999997;-0,3298765;-0,2556482;35,80996;-7,645655;36,13913;-7,62413
0,5199997;-0,3266341;-0,02396613;35,8068;-7,550609;36,13265;-7,527954
0,5399997;-0,3231964;0,2057055;35,80364;-7,455547;36,12606;-7,433132
0,5599996;-0,319759;0,2398413;35,80047;-7,360479;36,11946;-7,338299
0,5799996;-0,3163249;0,2708745;35,79731;-7,265415;36,11287;-7,243477
0,5999996;-0,3128834;0,3126204;35,79415;-7,17036;36,10628;-7,148659
0,6199996;-0,3094341;0,3549814;35,791;-7,075309;36,09969;-7,053848
0,6399996;-0,3059846;0,389595;35,78785;-6,980262;36,09309;-6,959042
0,6599995;-0,3025318;0,4275209;35,7847;-6,885221;36,0865;-6,864235
0,6799995;-0,2989209;0,6216714;35,78156;-6,790185;36,07967;-6,768192
0,6999995;-0,2953023;0,6655762;35,77818;-6,695178;36,07269;-6,673454
0,7199995;-0,291619;0,7671401;35,77487;-6,600171;36,0657;-6,578716
0,7399995;-0,2882031;0,5338529;35,77127;-6,505013;36,05869;-6,48381
0,7599995;-0,2852041;0,1469678;35,76726;-6,409869;36,05169;-6,388889
0,7799994;-0,2823852;-0,004938543;35,76307;-6,314736;36,04469;-6,293961
0,7999994;-0,2796004;-0,01118422;35,75885;-6,219675;36,03769;-6,199104
0,8199994;-0,2768308;0,001252592;35,75462;-6,124687;36,0307;-6,104321
0,8399994;-0,2739988;0,09200841;35,75039;-6,029771;36,02356;-6,00843
0,8599994;-0,2709378;0,3516796;35,74607;-5,935179;36,01619;-5,914078
0,8799993;-0,2678577;0,4014641;35,74174;-5,84024;36,00879;-5,819378
0,8999993;-0,2647738;0,4361776;35,73741;-5,745168;36,00138;-5,724545
0,9199993;-0,2616934;0,4634348;35,73307;-5,650123;35,99397;-5,629742
0,9399993;-0,2586209;0,486322;35,72873;-5,555078;35,98657;-5,534935
0,9599993;-0,2555366;0,528937;35,7244;-5,460018;35,97916;-5,440117
0,9799992;-0,2524602;0,5518335;35,72006;-5,364969;35,97175;-5,345306
0,9999992;-0,249307;0,6600912;35,7158;-5,269919;35,96435;-5,250504
1,019999;-0,2460503;0,7962365;35,71124;-5,174885;35,95645;-5,154644
1,039999;-0,2429423;0,6785882;35,70651;-5,079815;35,94863;-5,05983
1,059999;-0,240225;0,3150678;35,70139;-4,984751;35,9408;-4,964985
1,079999;-0,2379165;-0,07075116;35,69586;-4,889693;35,93297;-4,870121
1,099999;-0,2357768;-0,2179898;35,69016;-4,794676;35,92514;-4,77528
1,119999;-0,2336675;-0,2274449;35,68444;-4,699687;35,91731;-4,680466
1,139999;-0,2315547;-0,2027406;35,67871;-4,604702;35,90948;-4,585651
1,159999;-0,2294455;-0,1852095;35,67299;-4,509759;35,90166;-4,490883
1,179999;-0,2269869;0,1887645;35,66728;-4,414826;35,89341;-4,395138
1,199999;-0,2244253;0,3173323;35,66158;-4,319897;35,88516;-4,30043
1,219999;-0,2218559;0,3508344;35,6559;-4,22497;35,87692;-4,205727
1,239999;-0,2192864;0,3765735;35,65022;-4,130043;35,86868;-4,111023
1,259999;-0,2167054;0,413992;35,64454;-4,035117;35,86043;-4,016323
1,279999;-0,2142434;0,3195818;35,63875;-3,94024;35,85219;-3,921658
1,299999;-0,2117773;0,3482805;35,63298;-3,845556;35,84396;-3,827187
1,319999;-0,2092997;0,3846049;35,62721;-3,750672;35,83572;-3,732517
1,339999;-0,2065091;0,7255852;35,62144;-3,655742;35,82709;-3,636887
1,359999;-0,2038009;0,6701441;35,61546;-3,560831;35,81841;-3,542221
1,379999;-0,2011231;0,6665835;35,60944;-3,465888;35,80972;-3,447525
1,399999;-0,1988821;0,2521956;35,60297;-3,370739;35,80102;-3,352581
1,419999;-0,1968021;0,1119134;35,59634;-3,275683;35,79232;-3,257713
1,439999;-0,1948636;-0,01014367;35,58958;-3,180725;35,78363;-3,162933
1,459999;-0,1929562;-0,02210826;35,5828;-3,085863;35,77495;-3,068241
1,479999;-0,1910558;-0,01016751;35,576;-2,990877;35,76625;-2,973431
1,499999;-0,1889375;0,2289303;35,56919;-2,895961;35,75726;-2,877819
1,519999;-0,1865922;0,4794177;35,5624;-2,801067;35,74813;-2,78315
1,539999;-0,1842394;0,5103511;35,55561;-2,706171;35,73899;-2,688477
1,559999;-0,1818859;0,534616;35,54882;-2,611276;35,72986;-2,593811
1,579999;-0,1795405;0,5500387;35,54202;-2,516381;35,72073;-2,499142
1,599999;-0,1771032;0,6662473;35,53531;-2,421473;35,7116;-2,404465
1,619999;-0,1749951;0,3581467;35,52828;-2,326595;35,70247;-2,309792
1,639999;-0,1727993;0,4678431;35,52133;-2,231664;35,69333;-2,215069
1,659999;-0,170478;0,6164938;35,51438;-2,136809;35,68399;-2,119617
1,679999;-0,1679439;0,8546983;35,50731;-2,041909;35,67439;-2,024971
1,699999;-0,1655897;0,6982937;35,50004;-1,946926;35,66479;-1,930225
1,719999;-0,1636761;0,276847;35,49235;-1,852034;35,65519;-1,835529
1,739999;-0,1621504;-0,09586334;35,48426;-1,757173;35,64559;-1,740818
1,759999;-0,1608158;-0,2734749;35,47599;-1,662317;35,63599;-1,646099
1,779999;-0,1595084;-0,2877453;35,4677;-1,567518;35,62639;-1,55143
1,799999;-0,1582042;-0,2778475;35,45939;-1,472682;35,61679;-1,45673
1,819999;-0,1568279;-0,1919776;35,45108;-1,37768;35,60703;-1,361095
1,839998;-0,1550635;0,2137522;35,44279;-1,283048;35,59698;-1,266647
1,859998;-0,1533064;0,2240366;35,43449;-1,18834;35,58693;-1,172127
1,879998;-0,1515535;0,2373935;35,42617;-1,093617;35,57688;-1,077587
1,899998;-0,1498041;0,2514011;35,41786;-0,9988948;35,56683;-0,9830513
1,919998;-0,1480466;0,2769925;35,40955;-0,9041692;35,55677;-0,8885155
1,939998;-0,1462899;0,2938446;35,40125;-0,8094392;35,54671;-0,7939682
1,959998;-0,1445251;0,3195091;35,39294;-0,7147055;35,53666;-0,6994209
1,979998;-0,1427478;0,3497837;35,38464;-0,6199696;35,52651;-0,6041489
1,999998;-0,1404947;0,8481687;35,37635;-0,5252328;35,51598;-0,5096626
2,019998;-0,1385567;0,5524487;35,36774;-0,4305497;35,50544;-0,4151917
2,039998;-0,1367179;0,4716851;35,35902;-0,3358263;35,4949;-0,3206749
2,059998;-0,1351097;0,2570367;35,35006;-0,2409686;35,48434;-0,2259941
